"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",2468
"Votos a candidaturas 2007","PP 2007",1632
"Votos a candidaturas 2007","PAR 2007",722
"Votos a candidaturas 2007","CHA 2007",813
"Votos a candidaturas 2007","CDL 2007",160
"Votos a candidaturas 2007","LV 2007",74
"PSOE 2007","Votos a candidaturas 2011",2468
"PP 2007","Votos a candidaturas 2011",1632
"PAR 2007","Votos a candidaturas 2011",722
"CHA 2007","Votos a candidaturas 2011",813
"CDL 2007","Votos a candidaturas 2011",160
"LV 2007","Votos a candidaturas 2011",74
"Votos a candidaturas 2011","PSOE 2011",1786
"Votos a candidaturas 2011","PP 2011",2493
"Votos a candidaturas 2011","PAR 2011",770
"Votos a candidaturas 2011","CHA 2011",811
"Votos a candidaturas 2011","CDL 2011",78
"Votos a candidaturas 2011","IU 2011",294
"Votos a candidaturas 2011","ECOLO 2011",48
"Votos a candidaturas 2011","PACMA 2011",56
