"actividad","act_descripcion","value","cod","mun"
"A","Agricultura, ganadería, silvicultura y pesca",61,44013,"Alcañiz"
"B","Industrias extractivas",8,44013,"Alcañiz"
"C","Industria manufacturera",234,44013,"Alcañiz"
"D","Suministro de energía eléctrica, gas, vapor y aire acondicionado",45,44013,"Alcañiz"
"E","Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",28,44013,"Alcañiz"
"F","Construcción",700,44013,"Alcañiz"
"G","Comercio al por mayor y al por menor",1331,44013,"Alcañiz"
"H","Transporte y almacenamiento",331,44013,"Alcañiz"
"I","Hostelería",372,44013,"Alcañiz"
"J","Información y comunicaciones",69,44013,"Alcañiz"
"K","Actividades financieras y de seguros",143,44013,"Alcañiz"
"L","Actividades inmobiliarias",252,44013,"Alcañiz"
"M","Actividades profesionales, científicas y técnicas",458,44013,"Alcañiz"
"N","Actividades administrativas y servicios auxliares",187,44013,"Alcañiz"
"P","Educación",161,44013,"Alcañiz"
"Q","Actividades sanitarias y de servicios sociales",152,44013,"Alcañiz"
"R","Actividades artísticas, recreativas y de entretenimiento",108,44013,"Alcañiz"
"S","Otros servicios",196,44013,"Alcañiz"
