"actividad","act_descripcion","value","cod","mun"
"A","Agricultura, ganadería, silvicultura y pesca",30,44013,"Alcañiz"
"B","Industrias extractivas",2,44013,"Alcañiz"
"C","Industria manufacturera",82,44013,"Alcañiz"
"D","Suministro de energía eléctrica, gas, vapor y aire acondicionado",12,44013,"Alcañiz"
"E","Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",8,44013,"Alcañiz"
"F","Construcción",236,44013,"Alcañiz"
"G","Comercio al por mayor y al por menor",382,44013,"Alcañiz"
"H","Transporte y almacenamiento",59,44013,"Alcañiz"
"I","Hostelería",136,44013,"Alcañiz"
"J","Información y comunicaciones",8,44013,"Alcañiz"
"K","Actividades financieras y de seguros",29,44013,"Alcañiz"
"L","Actividades inmobiliarias",127,44013,"Alcañiz"
"M","Actividades profesionales, científicas y técnicas",84,44013,"Alcañiz"
"N","Actividades administrativas y servicios auxliares",63,44013,"Alcañiz"
"P","Educación",41,44013,"Alcañiz"
"Q","Actividades sanitarias y de servicios sociales",26,44013,"Alcañiz"
"R","Actividades artísticas, recreativas y de entretenimiento",34,44013,"Alcañiz"
"S","Otros servicios",57,44013,"Alcañiz"
