"actividad","act_descripcion","value","cod","mun"
"A","Agricultura, ganadería, silvicultura y pesca",83,44013,"Alcañiz"
"B","Industrias extractivas",1,44013,"Alcañiz"
"C","Industria manufacturera",184,44013,"Alcañiz"
"D","Suministro de energía eléctrica, gas, vapor y aire acondicionado",16,44013,"Alcañiz"
"E","Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",8,44013,"Alcañiz"
"F","Construcción",268,44013,"Alcañiz"
"G","Comercio al por mayor y al por menor",732,44013,"Alcañiz"
"H","Transporte y almacenamiento",103,44013,"Alcañiz"
"I","Hostelería",182,44013,"Alcañiz"
"J","Información y comunicaciones",35,44013,"Alcañiz"
"K","Actividades financieras y de seguros",56,44013,"Alcañiz"
"L","Actividades inmobiliarias",245,44013,"Alcañiz"
"M","Actividades profesionales, científicas y técnicas",188,44013,"Alcañiz"
"N","Actividades administrativas y servicios auxliares",103,44013,"Alcañiz"
"P","Educación",74,44013,"Alcañiz"
"Q","Actividades sanitarias y de servicios sociales",67,44013,"Alcañiz"
"R","Actividades artísticas, recreativas y de entretenimiento",49,44013,"Alcañiz"
"S","Otros servicios",106,44013,"Alcañiz"
