"actividad","act_descripcion","value","cod","mun"
"A","Agricultura, ganadería, silvicultura y pesca",133,44013,"Alcañiz"
"B","Industrias extractivas",8,44013,"Alcañiz"
"C","Industria manufacturera",140,44013,"Alcañiz"
"D","Suministro de energía eléctrica, gas, vapor y aire acondicionado",28,44013,"Alcañiz"
"E","Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",10,44013,"Alcañiz"
"F","Construcción",273,44013,"Alcañiz"
"G","Comercio al por mayor y al por menor",662,44013,"Alcañiz"
"H","Transporte y almacenamiento",115,44013,"Alcañiz"
"I","Hostelería",135,44013,"Alcañiz"
"J","Información y comunicaciones",24,44013,"Alcañiz"
"K","Actividades financieras y de seguros",63,44013,"Alcañiz"
"L","Actividades inmobiliarias",194,44013,"Alcañiz"
"M","Actividades profesionales, científicas y técnicas",140,44013,"Alcañiz"
"N","Actividades administrativas y servicios auxliares",82,44013,"Alcañiz"
"P","Educación",35,44013,"Alcañiz"
"Q","Actividades sanitarias y de servicios sociales",31,44013,"Alcañiz"
"R","Actividades artísticas, recreativas y de entretenimiento",44,44013,"Alcañiz"
"S","Otros servicios",86,44013,"Alcañiz"
