"actividad","act_descripcion","value","cod","mun"
"A","Agricultura, ganadería, silvicultura y pesca",77,44013,"Alcañiz"
"B","Industrias extractivas",6,44013,"Alcañiz"
"C","Industria manufacturera",130,44013,"Alcañiz"
"D","Suministro de energía eléctrica, gas, vapor y aire acondicionado",18,44013,"Alcañiz"
"E","Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",6,44013,"Alcañiz"
"F","Construcción",438,44013,"Alcañiz"
"G","Comercio al por mayor y al por menor",832,44013,"Alcañiz"
"H","Transporte y almacenamiento",102,44013,"Alcañiz"
"I","Hostelería",178,44013,"Alcañiz"
"J","Información y comunicaciones",37,44013,"Alcañiz"
"K","Actividades financieras y de seguros",74,44013,"Alcañiz"
"L","Actividades inmobiliarias",324,44013,"Alcañiz"
"M","Actividades profesionales, científicas y técnicas",212,44013,"Alcañiz"
"N","Actividades administrativas y servicios auxliares",124,44013,"Alcañiz"
"P","Educación",59,44013,"Alcañiz"
"Q","Actividades sanitarias y de servicios sociales",48,44013,"Alcañiz"
"R","Actividades artísticas, recreativas y de entretenimiento",53,44013,"Alcañiz"
"S","Otros servicios",113,44013,"Alcañiz"
