"actividad","act_descripcion","value","cod","mun"
"A","Agricultura, ganadería, silvicultura y pesca",5,44013,"Alcañiz"
"B","Industrias extractivas",2,44013,"Alcañiz"
"C","Industria manufacturera",428,44013,"Alcañiz"
"D","Suministro de energía eléctrica, gas, vapor y aire acondicionado",7,44013,"Alcañiz"
"E","Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",6,44013,"Alcañiz"
"F","Construcción",230,44013,"Alcañiz"
"G","Comercio al por mayor y al por menor",550,44013,"Alcañiz"
"H","Transporte y almacenamiento",69,44013,"Alcañiz"
"I","Hostelería",62,44013,"Alcañiz"
"J","Información y comunicaciones",19,44013,"Alcañiz"
"K","Actividades financieras y de seguros",22,44013,"Alcañiz"
"L","Actividades inmobiliarias",115,44013,"Alcañiz"
"M","Actividades profesionales, científicas y técnicas",95,44013,"Alcañiz"
"N","Actividades administrativas y servicios auxliares",64,44013,"Alcañiz"
"P","Educación",15,44013,"Alcañiz"
"Q","Actividades sanitarias y de servicios sociales",20,44013,"Alcañiz"
"R","Actividades artísticas, recreativas y de entretenimiento",25,44013,"Alcañiz"
"S","Otros servicios",35,44013,"Alcañiz"
