"actividad","act_descripcion","value","cod","mun"
"A","Agricultura, ganadería, silvicultura y pesca",266,44013,"Alcañiz"
"B","Industrias extractivas",7,44013,"Alcañiz"
"C","Industria manufacturera",188,44013,"Alcañiz"
"D","Suministro de energía eléctrica, gas, vapor y aire acondicionado",109,44013,"Alcañiz"
"E","Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",11,44013,"Alcañiz"
"F","Construcción",406,44013,"Alcañiz"
"G","Comercio al por mayor y al por menor",609,44013,"Alcañiz"
"H","Transporte y almacenamiento",112,44013,"Alcañiz"
"I","Hostelería",168,44013,"Alcañiz"
"J","Información y comunicaciones",12,44013,"Alcañiz"
"K","Actividades financieras y de seguros",58,44013,"Alcañiz"
"L","Actividades inmobiliarias",190,44013,"Alcañiz"
"M","Actividades profesionales, científicas y técnicas",156,44013,"Alcañiz"
"N","Actividades administrativas y servicios auxliares",98,44013,"Alcañiz"
"P","Educación",34,44013,"Alcañiz"
"Q","Actividades sanitarias y de servicios sociales",36,44013,"Alcañiz"
"R","Actividades artísticas, recreativas y de entretenimiento",40,44013,"Alcañiz"
"S","Otros servicios",80,44013,"Alcañiz"
