"actividad","act_descripcion","value","cod","mun"
"A","Agricultura, ganadería, silvicultura y pesca",174,44013,"Alcañiz"
"B","Industrias extractivas",3,44013,"Alcañiz"
"C","Industria manufacturera",342,44013,"Alcañiz"
"D","Suministro de energía eléctrica, gas, vapor y aire acondicionado",41,44013,"Alcañiz"
"E","Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",24,44013,"Alcañiz"
"F","Construcción",1035,44013,"Alcañiz"
"G","Comercio al por mayor y al por menor",2105,44013,"Alcañiz"
"H","Transporte y almacenamiento",334,44013,"Alcañiz"
"I","Hostelería",481,44013,"Alcañiz"
"J","Información y comunicaciones",155,44013,"Alcañiz"
"K","Actividades financieras y de seguros",205,44013,"Alcañiz"
"L","Actividades inmobiliarias",735,44013,"Alcañiz"
"M","Actividades profesionales, científicas y técnicas",841,44013,"Alcañiz"
"N","Actividades administrativas y servicios auxliares",394,44013,"Alcañiz"
"P","Educación",343,44013,"Alcañiz"
"Q","Actividades sanitarias y de servicios sociales",253,44013,"Alcañiz"
"R","Actividades artísticas, recreativas y de entretenimiento",203,44013,"Alcañiz"
"S","Otros servicios",340,44013,"Alcañiz"
