"actividad","act_descripcion","value","cod","mun"
"A","Agricultura, ganadería, silvicultura y pesca",406,44013,"Alcañiz"
"B","Industrias extractivas",39,44013,"Alcañiz"
"C","Industria manufacturera",3018,44013,"Alcañiz"
"D","Suministro de energía eléctrica, gas, vapor y aire acondicionado",246,44013,"Alcañiz"
"E","Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",113,44013,"Alcañiz"
"F","Construcción",9576,44013,"Alcañiz"
"G","Comercio al por mayor y al por menor",19727,44013,"Alcañiz"
"H","Transporte y almacenamiento",4392,44013,"Alcañiz"
"I","Hostelería",5055,44013,"Alcañiz"
"J","Información y comunicaciones",1485,44013,"Alcañiz"
"K","Actividades financieras y de seguros",2256,44013,"Alcañiz"
"L","Actividades inmobiliarias",8287,44013,"Alcañiz"
"M","Actividades profesionales, científicas y técnicas",9164,44013,"Alcañiz"
"N","Actividades administrativas y servicios auxliares",4233,44013,"Alcañiz"
"P","Educación",2325,44013,"Alcañiz"
"Q","Actividades sanitarias y de servicios sociales",2655,44013,"Alcañiz"
"R","Actividades artísticas, recreativas y de entretenimiento",1717,44013,"Alcañiz"
"S","Otros servicios",3350,44013,"Alcañiz"
