"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",271
"Votos a candidaturas 2007","PP 2007",73
"Votos a candidaturas 2007","PAR 2007",363
"Votos a candidaturas 2007","CHA 2007",112
"Votos a candidaturas 2007","IU 2007",100
"PSOE 2007","Votos a candidaturas 2011",271
"PP 2007","Votos a candidaturas 2011",73
"PAR 2007","Votos a candidaturas 2011",363
"CHA 2007","Votos a candidaturas 2011",112
"IU 2007","Votos a candidaturas 2011",100
"Votos a candidaturas 2011","PSOE 2011",232
"Votos a candidaturas 2011","PP 2011",155
"Votos a candidaturas 2011","PAR 2011",301
"Votos a candidaturas 2011","CHA 2011",65
"Votos a candidaturas 2011","IU 2011",97
