"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",66
"Votos a candidaturas 2007","PP 2007",6
"Votos a candidaturas 2007","PAR 2007",93
"Votos a candidaturas 2007","CHA 2007",1
"Votos a candidaturas 2007","IU 2007",1
"PSOE 2007","Votos a candidaturas 2011",66
"PP 2007","Votos a candidaturas 2011",6
"PAR 2007","Votos a candidaturas 2011",93
"CHA 2007","Votos a candidaturas 2011",1
"IU 2007","Votos a candidaturas 2011",1
"Votos a candidaturas 2011","PSOE 2011",63
"Votos a candidaturas 2011","PP 2011",4
"Votos a candidaturas 2011","PAR 2011",96
