"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",62
"Votos a candidaturas 2007","PP 2007",67
"Votos a candidaturas 2007","PAR 2007",60
"Votos a candidaturas 2007","CHA 2007",14
"PSOE 2007","Votos a candidaturas 2011",62
"PP 2007","Votos a candidaturas 2011",67
"PAR 2007","Votos a candidaturas 2011",60
"CHA 2007","Votos a candidaturas 2011",14
"Votos a candidaturas 2011","PSOE 2011",64
"Votos a candidaturas 2011","PP 2011",51
"Votos a candidaturas 2011","PAR 2011",50
"Votos a candidaturas 2011","CHA 2011",28
"Votos a candidaturas 2011","IU 2011",18
