"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",720
"Votos a candidaturas 2007","PP 2007",304
"Votos a candidaturas 2007","PAR 2007",264
"Votos a candidaturas 2007","CHA 2007",181
"PSOE 2007","Votos a candidaturas 2011",720
"PP 2007","Votos a candidaturas 2011",304
"PAR 2007","Votos a candidaturas 2011",264
"CHA 2007","Votos a candidaturas 2011",181
"Votos a candidaturas 2011","PSOE 2011",558
"Votos a candidaturas 2011","PP 2011",424
"Votos a candidaturas 2011","PAR 2011",142
"Votos a candidaturas 2011","CHA 2011",304
