"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",53
"Votos a candidaturas 2007","PP 2007",27
"Votos a candidaturas 2007","PAR 2007",3
"Votos a candidaturas 2007","CHA 2007",24
"PSOE 2007","Votos a candidaturas 2011",53
"PP 2007","Votos a candidaturas 2011",27
"PAR 2007","Votos a candidaturas 2011",3
"CHA 2007","Votos a candidaturas 2011",24
"Votos a candidaturas 2011","PSOE 2011",61
"Votos a candidaturas 2011","PP 2011",25
"Votos a candidaturas 2011","PAR 2011",1
"Votos a candidaturas 2011","CHA 2011",17
