"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",156
"Votos a candidaturas 2007","PP 2007",169
"Votos a candidaturas 2007","PAR 2007",82
"Votos a candidaturas 2007","CHA 2007",49
"PSOE 2007","Votos a candidaturas 2011",156
"PP 2007","Votos a candidaturas 2011",169
"PAR 2007","Votos a candidaturas 2011",82
"CHA 2007","Votos a candidaturas 2011",49
"Votos a candidaturas 2011","PSOE 2011",163
"Votos a candidaturas 2011","PP 2011",101
"Votos a candidaturas 2011","PAR 2011",141
"Votos a candidaturas 2011","L.VIA 2011",69
