"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",20
"Votos a candidaturas 2007","PP 2007",32
"Votos a candidaturas 2007","PAR 2007",82
"Votos a candidaturas 2007","CHA 2007",3
"Votos a candidaturas 2007","IU 2007",5
"PSOE 2007","Votos a candidaturas 2011",20
"PP 2007","Votos a candidaturas 2011",32
"PAR 2007","Votos a candidaturas 2011",82
"CHA 2007","Votos a candidaturas 2011",3
"IU 2007","Votos a candidaturas 2011",5
"Votos a candidaturas 2011","PSOE 2011",32
"Votos a candidaturas 2011","PP 2011",34
"Votos a candidaturas 2011","PAR 2011",70
