"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",140
"Votos a candidaturas 2007","PP 2007",118
"Votos a candidaturas 2007","PAR 2007",385
"Votos a candidaturas 2007","CHA 2007",24
"Votos a candidaturas 2007","IU 2007",42
"PSOE 2007","Votos a candidaturas 2011",140
"PP 2007","Votos a candidaturas 2011",118
"PAR 2007","Votos a candidaturas 2011",385
"CHA 2007","Votos a candidaturas 2011",24
"IU 2007","Votos a candidaturas 2011",42
"Votos a candidaturas 2011","PSOE 2011",160
"Votos a candidaturas 2011","PP 2011",167
"Votos a candidaturas 2011","PAR 2011",221
"Votos a candidaturas 2011","CHA 2011",37
"Votos a candidaturas 2011","IU 2011",65
