"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",2350
"Votos a candidaturas 2007","PP 2007",1599
"Votos a candidaturas 2007","PAR 2007",734
"Votos a candidaturas 2007","CHA 2007",816
"Votos a candidaturas 2007","IU 2007",630
"PSOE 2007","Votos a candidaturas 2011",2350
"PP 2007","Votos a candidaturas 2011",1599
"PAR 2007","Votos a candidaturas 2011",734
"CHA 2007","Votos a candidaturas 2011",816
"IU 2007","Votos a candidaturas 2011",630
"Votos a candidaturas 2011","PSOE 2011",2438
"Votos a candidaturas 2011","PP 2011",2486
"Votos a candidaturas 2011","PAR 2011",314
"Votos a candidaturas 2011","CHA 2011",552
"Votos a candidaturas 2011","IU 2011",873
"Votos a candidaturas 2011","UPyD 2011",265
"Votos a candidaturas 2011","COMPROMISO.CON.ARAGON 2011",182
"Votos a candidaturas 2011","FIA 2011",42
