"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",1778
"Votos a candidaturas 2007","PP 2007",662
"Votos a candidaturas 2007","PAR 2007",1111
"Votos a candidaturas 2007","CHA 2007",437
"Votos a candidaturas 2007","IU 2007",696
"PSOE 2007","Votos a candidaturas 2011",1778
"PP 2007","Votos a candidaturas 2011",662
"PAR 2007","Votos a candidaturas 2011",1111
"CHA 2007","Votos a candidaturas 2011",437
"IU 2007","Votos a candidaturas 2011",696
"Votos a candidaturas 2011","PSOE 2011",1683
"Votos a candidaturas 2011","PP 2011",921
"Votos a candidaturas 2011","PAR 2011",1355
"Votos a candidaturas 2011","CHA 2011",343
"Votos a candidaturas 2011","IU 2011",329
