"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",203
"Votos a candidaturas 2007","PP 2007",137
"Votos a candidaturas 2007","PAR 2007",114
"Votos a candidaturas 2007","CHA 2007",36
"PSOE 2007","Votos a candidaturas 2011",203
"PP 2007","Votos a candidaturas 2011",137
"PAR 2007","Votos a candidaturas 2011",114
"CHA 2007","Votos a candidaturas 2011",36
"Votos a candidaturas 2011","PSOE 2011",136
"Votos a candidaturas 2011","PP 2011",107
"Votos a candidaturas 2011","PAR 2011",104
"Votos a candidaturas 2011","IU 2011",16
"Votos a candidaturas 2011","FIA 2011",104
