"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",153
"Votos a candidaturas 2007","PP 2007",114
"Votos a candidaturas 2007","PAR 2007",53
"Votos a candidaturas 2007","CHA 2007",58
"PSOE 2007","Votos a candidaturas 2011",153
"PP 2007","Votos a candidaturas 2011",114
"PAR 2007","Votos a candidaturas 2011",53
"CHA 2007","Votos a candidaturas 2011",58
"Votos a candidaturas 2011","PSOE 2011",148
"Votos a candidaturas 2011","PP 2011",99
"Votos a candidaturas 2011","PAR 2011",58
"Votos a candidaturas 2011","CHA 2011",62
"Votos a candidaturas 2011","IU 2011",12
