"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",841
"Votos a candidaturas 2007","PP 2007",257
"Votos a candidaturas 2007","PAR 2007",28
"Votos a candidaturas 2007","CHA 2007",396
"PSOE 2007","Votos a candidaturas 2011",841
"PP 2007","Votos a candidaturas 2011",257
"PAR 2007","Votos a candidaturas 2011",28
"CHA 2007","Votos a candidaturas 2011",396
"Votos a candidaturas 2011","PSOE 2011",682
"Votos a candidaturas 2011","PP 2011",368
"Votos a candidaturas 2011","PAR 2011",118
"Votos a candidaturas 2011","CHA 2011",163
