"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",313
"Votos a candidaturas 2007","PP 2007",118
"Votos a candidaturas 2007","PAR 2007",220
"Votos a candidaturas 2007","L.ENTESA 2007",69
"PSOE 2007","Votos a candidaturas 2011",313
"PP 2007","Votos a candidaturas 2011",118
"PAR 2007","Votos a candidaturas 2011",220
"L.ENTESA 2007","Votos a candidaturas 2011",69
"Votos a candidaturas 2011","PSOE 2011",295
"Votos a candidaturas 2011","PP 2011",288
"Votos a candidaturas 2011","PAR 2011",52
"Votos a candidaturas 2011","ESQUERRA.AM 2011",66
