"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",57
"Votos a candidaturas 2007","PP 2007",27
"Votos a candidaturas 2007","PAR 2007",34
"Votos a candidaturas 2007","CHA 2007",30
"PSOE 2007","Votos a candidaturas 2011",57
"PP 2007","Votos a candidaturas 2011",27
"PAR 2007","Votos a candidaturas 2011",34
"CHA 2007","Votos a candidaturas 2011",30
"Votos a candidaturas 2011","PSOE 2011",54
"Votos a candidaturas 2011","PP 2011",61
"Votos a candidaturas 2011","PAR 2011",59
"Votos a candidaturas 2011","ECOLO 2011",34
