"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",606
"Votos a candidaturas 2007","PP 2007",386
"Votos a candidaturas 2007","PAR 2007",144
"Votos a candidaturas 2007","CHA 2007",61
"PSOE 2007","Votos a candidaturas 2011",606
"PP 2007","Votos a candidaturas 2011",386
"PAR 2007","Votos a candidaturas 2011",144
"CHA 2007","Votos a candidaturas 2011",61
"Votos a candidaturas 2011","PSOE 2011",435
"Votos a candidaturas 2011","PP 2011",466
"Votos a candidaturas 2011","PAR 2011",161
"Votos a candidaturas 2011","CHA 2011",55
