"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",317
"Votos a candidaturas 2007","PP 2007",56
"Votos a candidaturas 2007","PAR 2007",40
"Votos a candidaturas 2007","CHA 2007",194
"PSOE 2007","Votos a candidaturas 2011",317
"PP 2007","Votos a candidaturas 2011",56
"PAR 2007","Votos a candidaturas 2011",40
"CHA 2007","Votos a candidaturas 2011",194
"Votos a candidaturas 2011","PSOE 2011",263
"Votos a candidaturas 2011","PP 2011",129
"Votos a candidaturas 2011","PAR 2011",40
"Votos a candidaturas 2011","IU 2011",135
