"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",3184
"Votos a candidaturas 2007","PP 2007",3160
"Votos a candidaturas 2007","PAR 2007",407
"Votos a candidaturas 2007","CHA 2007",423
"Votos a candidaturas 2007","IU 2007",678
"PSOE 2007","Votos a candidaturas 2011",3184
"PP 2007","Votos a candidaturas 2011",3160
"PAR 2007","Votos a candidaturas 2011",407
"CHA 2007","Votos a candidaturas 2011",423
"IU 2007","Votos a candidaturas 2011",678
"Votos a candidaturas 2011","PSOE 2011",2328
"Votos a candidaturas 2011","PP 2011",2799
"Votos a candidaturas 2011","PAR 2011",978
"Votos a candidaturas 2011","CHA 2011",407
"Votos a candidaturas 2011","IU 2011",804
"Votos a candidaturas 2011","FIA 2011",299
