"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",48
"Votos a candidaturas 2007","PP 2007",8
"Votos a candidaturas 2007","PAR 2007",28
"Votos a candidaturas 2007","CHA 2007",7
"PSOE 2007","Votos a candidaturas 2011",48
"PP 2007","Votos a candidaturas 2011",8
"PAR 2007","Votos a candidaturas 2011",28
"CHA 2007","Votos a candidaturas 2011",7
"Votos a candidaturas 2011","PSOE 2011",55
"Votos a candidaturas 2011","PP 2011",11
"Votos a candidaturas 2011","PAR 2011",25
"Votos a candidaturas 2011","CHA 2011",27
