"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",41
"Votos a candidaturas 2007","PP 2007",11
"Votos a candidaturas 2007","PAR 2007",37
"Votos a candidaturas 2007","CHA 2007",4
"PSOE 2007","Votos a candidaturas 2011",41
"PP 2007","Votos a candidaturas 2011",11
"PAR 2007","Votos a candidaturas 2011",37
"CHA 2007","Votos a candidaturas 2011",4
"Votos a candidaturas 2011","PSOE 2011",32
"Votos a candidaturas 2011","PP 2011",30
"Votos a candidaturas 2011","COMPROMISO.CON.ARAGON 2011",29
