"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",277
"Votos a candidaturas 2007","PP 2007",49
"Votos a candidaturas 2007","CHA 2007",2
"Votos a candidaturas 2007","IU 2007",44
"PSOE 2007","Votos a candidaturas 2011",277
"PP 2007","Votos a candidaturas 2011",49
"CHA 2007","Votos a candidaturas 2011",2
"IU 2007","Votos a candidaturas 2011",44
"Votos a candidaturas 2011","PSOE 2011",302
"Votos a candidaturas 2011","PP 2011",48
"Votos a candidaturas 2011","IU 2011",30
"Votos a candidaturas 2011","PAR 2011",10
