"source","target","value"
"Votos a candidaturas 2007","PP 2007",12
"Votos a candidaturas 2007","PAR 2007",20
"Votos a candidaturas 2007","CHA 2007",32
"PP 2007","Votos a candidaturas 2011",12
"PAR 2007","Votos a candidaturas 2011",20
"CHA 2007","Votos a candidaturas 2011",32
"Votos a candidaturas 2011","PP 2011",3
"Votos a candidaturas 2011","PAR 2011",38
"Votos a candidaturas 2011","CHA 2011",11
"Votos a candidaturas 2011","PSOE 2011",27
"Votos a candidaturas 2011","COMPROMISO.CON.ARAGON 2011",14
