"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",26
"Votos a candidaturas 2007","PP 2007",1
"Votos a candidaturas 2007","PAR 2007",45
"Votos a candidaturas 2007","CHA 2007",26
"PSOE 2007","Votos a candidaturas 2011",26
"PP 2007","Votos a candidaturas 2011",1
"PAR 2007","Votos a candidaturas 2011",45
"CHA 2007","Votos a candidaturas 2011",26
"Votos a candidaturas 2011","PSOE 2011",42
"Votos a candidaturas 2011","PP 2011",1
"Votos a candidaturas 2011","PAR 2011",41
"Votos a candidaturas 2011","CHA 2011",23
"Votos a candidaturas 2011","IU 2011",4
