"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",824
"Votos a candidaturas 2007","PP 2007",584
"Votos a candidaturas 2007","PAR 2007",483
"Votos a candidaturas 2007","CHA 2007",179
"PSOE 2007","Votos a candidaturas 2011",824
"PP 2007","Votos a candidaturas 2011",584
"PAR 2007","Votos a candidaturas 2011",483
"CHA 2007","Votos a candidaturas 2011",179
"Votos a candidaturas 2011","PSOE 2011",570
"Votos a candidaturas 2011","PP 2011",748
"Votos a candidaturas 2011","PAR 2011",619
"Votos a candidaturas 2011","CHA 2011",262
"Votos a candidaturas 2011","FIA 2011",269
