"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",251
"Votos a candidaturas 2007","PP 2007",96
"Votos a candidaturas 2007","PAR 2007",108
"Votos a candidaturas 2007","CHA 2007",101
"PSOE 2007","Votos a candidaturas 2011",251
"PP 2007","Votos a candidaturas 2011",96
"PAR 2007","Votos a candidaturas 2011",108
"CHA 2007","Votos a candidaturas 2011",101
"Votos a candidaturas 2011","PSOE 2011",243
"Votos a candidaturas 2011","PP 2011",118
"Votos a candidaturas 2011","PAR 2011",93
"Votos a candidaturas 2011","CHA 2011",84
