"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",48
"Votos a candidaturas 2007","PP 2007",31
"Votos a candidaturas 2007","PAR 2007",34
"Votos a candidaturas 2007","CHA 2007",13
"PSOE 2007","Votos a candidaturas 2011",48
"PP 2007","Votos a candidaturas 2011",31
"PAR 2007","Votos a candidaturas 2011",34
"CHA 2007","Votos a candidaturas 2011",13
"Votos a candidaturas 2011","PSOE 2011",32
"Votos a candidaturas 2011","PP 2011",24
"Votos a candidaturas 2011","PAR 2011",36
"Votos a candidaturas 2011","CHA 2011",7
