"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",43
"Votos a candidaturas 2007","PP 2007",47
"Votos a candidaturas 2007","PAR 2007",16
"Votos a candidaturas 2007","CHA 2007",5
"Votos a candidaturas 2007","IU 2007",2
"PSOE 2007","Votos a candidaturas 2011",43
"PP 2007","Votos a candidaturas 2011",47
"PAR 2007","Votos a candidaturas 2011",16
"CHA 2007","Votos a candidaturas 2011",5
"IU 2007","Votos a candidaturas 2011",2
"Votos a candidaturas 2011","PSOE 2011",33
"Votos a candidaturas 2011","PP 2011",56
"Votos a candidaturas 2011","PAR 2011",29
