"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",317
"Votos a candidaturas 2007","PP 2007",295
"Votos a candidaturas 2007","PAR 2007",464
"Votos a candidaturas 2007","CHA 2007",133
"PSOE 2007","Votos a candidaturas 2011",317
"PP 2007","Votos a candidaturas 2011",295
"PAR 2007","Votos a candidaturas 2011",464
"CHA 2007","Votos a candidaturas 2011",133
"Votos a candidaturas 2011","PSOE 2011",519
"Votos a candidaturas 2011","PP 2011",333
"Votos a candidaturas 2011","PAR 2011",266
"Votos a candidaturas 2011","CHA 2011",76
