"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",757
"Votos a candidaturas 2007","PP 2007",937
"Votos a candidaturas 2007","PAR 2007",116
"Votos a candidaturas 2007","CHA 2007",38
"Votos a candidaturas 2007","IU 2007",29
"PSOE 2007","Votos a candidaturas 2011",757
"PP 2007","Votos a candidaturas 2011",937
"PAR 2007","Votos a candidaturas 2011",116
"CHA 2007","Votos a candidaturas 2011",38
"IU 2007","Votos a candidaturas 2011",29
"Votos a candidaturas 2011","PSOE 2011",808
"Votos a candidaturas 2011","PP 2011",867
"Votos a candidaturas 2011","PAR 2011",84
"Votos a candidaturas 2011","IU 2011",66
"Votos a candidaturas 2011","COMPROMISO.CON.ARAGON 2011",31
