"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",1617
"Votos a candidaturas 2007","PP 2007",1299
"Votos a candidaturas 2007","PAR 2007",634
"Votos a candidaturas 2007","CHA 2007",277
"Votos a candidaturas 2007","IU 2007",265
"PSOE 2007","Votos a candidaturas 2011",1617
"PP 2007","Votos a candidaturas 2011",1299
"PAR 2007","Votos a candidaturas 2011",634
"CHA 2007","Votos a candidaturas 2011",277
"IU 2007","Votos a candidaturas 2011",265
"Votos a candidaturas 2011","PSOE 2011",1484
"Votos a candidaturas 2011","PP 2011",1562
"Votos a candidaturas 2011","PAR 2011",935
"Votos a candidaturas 2011","CHA 2011",202
"Votos a candidaturas 2011","IU 2011",227
