"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",307
"Votos a candidaturas 2007","PP 2007",85
"Votos a candidaturas 2007","PAR 2007",110
"Votos a candidaturas 2007","CHA 2007",162
"PSOE 2007","Votos a candidaturas 2011",307
"PP 2007","Votos a candidaturas 2011",85
"PAR 2007","Votos a candidaturas 2011",110
"CHA 2007","Votos a candidaturas 2011",162
"Votos a candidaturas 2011","PSOE 2011",246
"Votos a candidaturas 2011","PP 2011",83
"Votos a candidaturas 2011","PAR 2011",74
"Votos a candidaturas 2011","CHA 2011",206
