"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",90
"Votos a candidaturas 2007","PP 2007",39
"Votos a candidaturas 2007","PAR 2007",27
"Votos a candidaturas 2007","CHA 2007",1
"Votos a candidaturas 2007","IU 2007",16
"Votos a candidaturas 2007","IPN 2007",64
"PSOE 2007","Votos a candidaturas 2011",90
"PP 2007","Votos a candidaturas 2011",39
"PAR 2007","Votos a candidaturas 2011",27
"CHA 2007","Votos a candidaturas 2011",1
"IU 2007","Votos a candidaturas 2011",16
"IPN 2007","Votos a candidaturas 2011",64
"Votos a candidaturas 2011","PSOE 2011",94
"Votos a candidaturas 2011","PP 2011",33
"Votos a candidaturas 2011","PAR 2011",46
"Votos a candidaturas 2011","IU 2011",9
