"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",76
"Votos a candidaturas 2007","PP 2007",1
"Votos a candidaturas 2007","PAR 2007",84
"Votos a candidaturas 2007","CHA 2007",74
"Votos a candidaturas 2007","IU 2007",2
"PSOE 2007","Votos a candidaturas 2011",76
"PP 2007","Votos a candidaturas 2011",1
"PAR 2007","Votos a candidaturas 2011",84
"CHA 2007","Votos a candidaturas 2011",74
"IU 2007","Votos a candidaturas 2011",2
"Votos a candidaturas 2011","PSOE 2011",114
"Votos a candidaturas 2011","PP 2011",1
"Votos a candidaturas 2011","PAR 2011",64
"Votos a candidaturas 2011","CHA 2011",1
"Votos a candidaturas 2011","IU 2011",2
