"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",25
"Votos a candidaturas 2007","PP 2007",163
"Votos a candidaturas 2007","PAR 2007",132
"Votos a candidaturas 2007","IU 2007",95
"PSOE 2007","Votos a candidaturas 2011",25
"PP 2007","Votos a candidaturas 2011",163
"PAR 2007","Votos a candidaturas 2011",132
"IU 2007","Votos a candidaturas 2011",95
"Votos a candidaturas 2011","PSOE 2011",24
"Votos a candidaturas 2011","PP 2011",186
"Votos a candidaturas 2011","PAR 2011",84
"Votos a candidaturas 2011","IU 2011",65
