"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",1
"Votos a candidaturas 2007","PP 2007",27
"Votos a candidaturas 2007","PAR 2007",40
"Votos a candidaturas 2007","CHA 2007",1
"PSOE 2007","Votos a candidaturas 2011",1
"PP 2007","Votos a candidaturas 2011",27
"PAR 2007","Votos a candidaturas 2011",40
"CHA 2007","Votos a candidaturas 2011",1
"Votos a candidaturas 2011","PSOE 2011",1
"Votos a candidaturas 2011","PP 2011",45
"Votos a candidaturas 2011","PAR 2011",16
"Votos a candidaturas 2011","CHA 2011",3
"Votos a candidaturas 2011","COMPROMISO.CON.ARAGON 2011",7
