"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",1598
"Votos a candidaturas 2007","PP 2007",343
"Votos a candidaturas 2007","PAR 2007",1078
"Votos a candidaturas 2007","CHA 2007",148
"Votos a candidaturas 2007","IU 2007",268
"PSOE 2007","Votos a candidaturas 2011",1598
"PP 2007","Votos a candidaturas 2011",343
"PAR 2007","Votos a candidaturas 2011",1078
"CHA 2007","Votos a candidaturas 2011",148
"IU 2007","Votos a candidaturas 2011",268
"Votos a candidaturas 2011","PSOE 2011",1346
"Votos a candidaturas 2011","PP 2011",414
"Votos a candidaturas 2011","PAR 2011",945
"Votos a candidaturas 2011","CHA 2011",261
"Votos a candidaturas 2011","IU 2011",314
