"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",60
"Votos a candidaturas 2007","PP 2007",12
"Votos a candidaturas 2007","PAR 2007",11
"Votos a candidaturas 2007","CHA 2007",3
"Votos a candidaturas 2007","IU 2007",3
"PSOE 2007","Votos a candidaturas 2011",60
"PP 2007","Votos a candidaturas 2011",12
"PAR 2007","Votos a candidaturas 2011",11
"CHA 2007","Votos a candidaturas 2011",3
"IU 2007","Votos a candidaturas 2011",3
"Votos a candidaturas 2011","PSOE 2011",57
"Votos a candidaturas 2011","PP 2011",3
"Votos a candidaturas 2011","PAR 2011",4
"Votos a candidaturas 2011","CHA 2011",7
"Votos a candidaturas 2011","IU 2011",2
