"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",511
"Votos a candidaturas 2007","PP 2007",51
"Votos a candidaturas 2007","PAR 2007",163
"Votos a candidaturas 2007","CHA 2007",217
"PSOE 2007","Votos a candidaturas 2011",511
"PP 2007","Votos a candidaturas 2011",51
"PAR 2007","Votos a candidaturas 2011",163
"CHA 2007","Votos a candidaturas 2011",217
"Votos a candidaturas 2011","PSOE 2011",471
"Votos a candidaturas 2011","PP 2011",225
"Votos a candidaturas 2011","PAR 2011",74
"Votos a candidaturas 2011","CHA 2011",111
