"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",31
"Votos a candidaturas 2007","PP 2007",50
"Votos a candidaturas 2007","PAR 2007",22
"Votos a candidaturas 2007","CHA 2007",1
"Votos a candidaturas 2007","IU 2007",1
"PSOE 2007","Votos a candidaturas 2011",31
"PP 2007","Votos a candidaturas 2011",50
"PAR 2007","Votos a candidaturas 2011",22
"CHA 2007","Votos a candidaturas 2011",1
"IU 2007","Votos a candidaturas 2011",1
"Votos a candidaturas 2011","PSOE 2011",35
"Votos a candidaturas 2011","PP 2011",42
"Votos a candidaturas 2011","PAR 2011",35
