"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",29
"Votos a candidaturas 2007","PP 2007",62
"Votos a candidaturas 2007","PAR 2007",27
"Votos a candidaturas 2007","CHA 2007",19
"Votos a candidaturas 2007","IU 2007",25
"PSOE 2007","Votos a candidaturas 2011",29
"PP 2007","Votos a candidaturas 2011",62
"PAR 2007","Votos a candidaturas 2011",27
"CHA 2007","Votos a candidaturas 2011",19
"IU 2007","Votos a candidaturas 2011",25
"Votos a candidaturas 2011","PSOE 2011",22
"Votos a candidaturas 2011","PP 2011",72
"Votos a candidaturas 2011","PAR 2011",9
"Votos a candidaturas 2011","COMPROMISO.CON.ARAGON 2011",22
