"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",8909
"Votos a candidaturas 2007","PP 2007",7457
"Votos a candidaturas 2007","PAR 2007",1906
"Votos a candidaturas 2007","CHA 2007",2092
"Votos a candidaturas 2007","IU 2007",1338
"Votos a candidaturas 2007","LV.GV 2007",753
"Votos a candidaturas 2007","PFyV 2007",45
"PSOE 2007","Votos a candidaturas 2011",8909
"PP 2007","Votos a candidaturas 2011",7457
"PAR 2007","Votos a candidaturas 2011",1906
"CHA 2007","Votos a candidaturas 2011",2092
"IU 2007","Votos a candidaturas 2011",1338
"LV.GV 2007","Votos a candidaturas 2011",753
"PFyV 2007","Votos a candidaturas 2011",45
"Votos a candidaturas 2011","PSOE 2011",7583
"Votos a candidaturas 2011","PP 2011",9164
"Votos a candidaturas 2011","PAR 2011",1653
"Votos a candidaturas 2011","CHA 2011",1632
"Votos a candidaturas 2011","IU 2011",1558
"Votos a candidaturas 2011","UPyD 2011",564
"Votos a candidaturas 2011","ECOLO 2011",914
"Votos a candidaturas 2011","AES 2011",183
"Votos a candidaturas 2011","UCE 2011",15
