"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",518
"Votos a candidaturas 2007","PP 2007",244
"Votos a candidaturas 2007","PAR 2007",138
"Votos a candidaturas 2007","CHA 2007",424
"PSOE 2007","Votos a candidaturas 2011",518
"PP 2007","Votos a candidaturas 2011",244
"PAR 2007","Votos a candidaturas 2011",138
"CHA 2007","Votos a candidaturas 2011",424
"Votos a candidaturas 2011","PSOE 2011",475
"Votos a candidaturas 2011","PP 2011",345
"Votos a candidaturas 2011","PAR 2011",112
"Votos a candidaturas 2011","CHA 2011",402
