"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",115
"Votos a candidaturas 2007","PP 2007",17
"Votos a candidaturas 2007","PAR 2007",78
"Votos a candidaturas 2007","CHA 2007",26
"PSOE 2007","Votos a candidaturas 2011",115
"PP 2007","Votos a candidaturas 2011",17
"PAR 2007","Votos a candidaturas 2011",78
"CHA 2007","Votos a candidaturas 2011",26
"Votos a candidaturas 2011","PSOE 2011",106
"Votos a candidaturas 2011","PP 2011",6
"Votos a candidaturas 2011","PAR 2011",66
"Votos a candidaturas 2011","CHA 2011",38
