"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",23
"Votos a candidaturas 2007","PP 2007",19
"Votos a candidaturas 2007","PAR 2007",58
"Votos a candidaturas 2007","CHA 2007",40
"Votos a candidaturas 2007","IU 2007",4
"PSOE 2007","Votos a candidaturas 2011",23
"PP 2007","Votos a candidaturas 2011",19
"PAR 2007","Votos a candidaturas 2011",58
"CHA 2007","Votos a candidaturas 2011",40
"IU 2007","Votos a candidaturas 2011",4
"Votos a candidaturas 2011","PSOE 2011",19
"Votos a candidaturas 2011","PP 2011",23
"Votos a candidaturas 2011","PAR 2011",47
"Votos a candidaturas 2011","CHA 2011",31
