"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",32
"Votos a candidaturas 2007","PP 2007",45
"Votos a candidaturas 2007","PAR 2007",10
"Votos a candidaturas 2007","CHA 2007",5
"Votos a candidaturas 2007","IU 2007",1
"PSOE 2007","Votos a candidaturas 2011",32
"PP 2007","Votos a candidaturas 2011",45
"PAR 2007","Votos a candidaturas 2011",10
"CHA 2007","Votos a candidaturas 2011",5
"IU 2007","Votos a candidaturas 2011",1
"Votos a candidaturas 2011","PSOE 2011",23
"Votos a candidaturas 2011","PP 2011",50
"Votos a candidaturas 2011","PAR 2011",6
"Votos a candidaturas 2011","CHA 2011",18
