"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",44
"Votos a candidaturas 2007","PP 2007",16
"Votos a candidaturas 2007","PAR 2007",29
"Votos a candidaturas 2007","CHA 2007",18
"PSOE 2007","Votos a candidaturas 2011",44
"PP 2007","Votos a candidaturas 2011",16
"PAR 2007","Votos a candidaturas 2011",29
"CHA 2007","Votos a candidaturas 2011",18
"Votos a candidaturas 2011","PSOE 2011",51
"Votos a candidaturas 2011","PP 2011",18
"Votos a candidaturas 2011","PAR 2011",17
"Votos a candidaturas 2011","IU 2011",15
