"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",318
"Votos a candidaturas 2007","PP 2007",236
"Votos a candidaturas 2007","PAR 2007",114
"Votos a candidaturas 2007","CHA 2007",104
"PSOE 2007","Votos a candidaturas 2011",318
"PP 2007","Votos a candidaturas 2011",236
"PAR 2007","Votos a candidaturas 2011",114
"CHA 2007","Votos a candidaturas 2011",104
"Votos a candidaturas 2011","PSOE 2011",225
"Votos a candidaturas 2011","PP 2011",282
"Votos a candidaturas 2011","PAR 2011",74
"Votos a candidaturas 2011","CHA 2011",149
