"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",326
"Votos a candidaturas 2007","PP 2007",238
"Votos a candidaturas 2007","PAR 2007",139
"Votos a candidaturas 2007","CHA 2007",8
"Votos a candidaturas 2007","IU 2007",181
"PSOE 2007","Votos a candidaturas 2011",326
"PP 2007","Votos a candidaturas 2011",238
"PAR 2007","Votos a candidaturas 2011",139
"CHA 2007","Votos a candidaturas 2011",8
"IU 2007","Votos a candidaturas 2011",181
"Votos a candidaturas 2011","PSOE 2011",430
"Votos a candidaturas 2011","PP 2011",247
"Votos a candidaturas 2011","PAR 2011",70
"Votos a candidaturas 2011","IU 2011",157
