"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",66
"Votos a candidaturas 2007","PP 2007",12
"Votos a candidaturas 2007","PAR 2007",14
"Votos a candidaturas 2007","CHA 2007",7
"PSOE 2007","Votos a candidaturas 2011",66
"PP 2007","Votos a candidaturas 2011",12
"PAR 2007","Votos a candidaturas 2011",14
"CHA 2007","Votos a candidaturas 2011",7
"Votos a candidaturas 2011","PSOE 2011",65
"Votos a candidaturas 2011","PP 2011",7
"Votos a candidaturas 2011","PAR 2011",37
"Votos a candidaturas 2011","CHA 2011",4
