"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",4180
"Votos a candidaturas 2007","PP 2007",1927
"Votos a candidaturas 2007","PAR 2007",992
"Votos a candidaturas 2007","CHA 2007",215
"Votos a candidaturas 2007","IU 2007",853
"PSOE 2007","Votos a candidaturas 2011",4180
"PP 2007","Votos a candidaturas 2011",1927
"PAR 2007","Votos a candidaturas 2011",992
"CHA 2007","Votos a candidaturas 2011",215
"IU 2007","Votos a candidaturas 2011",853
"Votos a candidaturas 2011","PSOE 2011",3947
"Votos a candidaturas 2011","PP 2011",2655
"Votos a candidaturas 2011","PAR 2011",401
"Votos a candidaturas 2011","CHA 2011",459
"Votos a candidaturas 2011","IU 2011",920
