"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",6
"Votos a candidaturas 2007","PP 2007",74
"Votos a candidaturas 2007","PAR 2007",57
"Votos a candidaturas 2007","CHA 2007",5
"Votos a candidaturas 2007","IU 2007",1
"PSOE 2007","Votos a candidaturas 2011",6
"PP 2007","Votos a candidaturas 2011",74
"PAR 2007","Votos a candidaturas 2011",57
"CHA 2007","Votos a candidaturas 2011",5
"IU 2007","Votos a candidaturas 2011",1
"Votos a candidaturas 2011","PSOE 2011",49
"Votos a candidaturas 2011","PP 2011",55
"Votos a candidaturas 2011","PAR 2011",56
"Votos a candidaturas 2011","CHA 2011",8
