"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",61
"Votos a candidaturas 2007","PP 2007",26
"Votos a candidaturas 2007","PAR 2007",25
"Votos a candidaturas 2007","CHA 2007",34
"PSOE 2007","Votos a candidaturas 2011",61
"PP 2007","Votos a candidaturas 2011",26
"PAR 2007","Votos a candidaturas 2011",25
"CHA 2007","Votos a candidaturas 2011",34
"Votos a candidaturas 2011","PSOE 2011",52
"Votos a candidaturas 2011","PP 2011",32
"Votos a candidaturas 2011","PAR 2011",32
"Votos a candidaturas 2011","CHA 2011",25
