"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",156
"Votos a candidaturas 2007","PP 2007",118
"Votos a candidaturas 2007","PAR 2007",100
"Votos a candidaturas 2007","CHA 2007",90
"PSOE 2007","Votos a candidaturas 2011",156
"PP 2007","Votos a candidaturas 2011",118
"PAR 2007","Votos a candidaturas 2011",100
"CHA 2007","Votos a candidaturas 2011",90
"Votos a candidaturas 2011","PSOE 2011",54
"Votos a candidaturas 2011","PP 2011",205
"Votos a candidaturas 2011","PAR 2011",80
"Votos a candidaturas 2011","CHA 2011",71
