"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",53
"Votos a candidaturas 2007","PP 2007",20
"Votos a candidaturas 2007","PAR 2007",23
"Votos a candidaturas 2007","CHA 2007",4
"PSOE 2007","Votos a candidaturas 2011",53
"PP 2007","Votos a candidaturas 2011",20
"PAR 2007","Votos a candidaturas 2011",23
"CHA 2007","Votos a candidaturas 2011",4
"Votos a candidaturas 2011","PSOE 2011",46
"Votos a candidaturas 2011","PP 2011",28
"Votos a candidaturas 2011","PAR 2011",44
"Votos a candidaturas 2011","CHA 2011",2
